region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809238,0.029998965143116077
BrainSegVolNotVent,rh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809238,0.029998965143116077
MeanThickness,lh,0.11762766505689591,0.009152118764188517,0.07780583555545104,89,pd,0.11287282503055242,0.12258576090525289
MeanThickness,rh,0.10519834080911823,0.008206228727776503,0.0780072068120034,89,pd,0.10094592891824056,0.10963253115513458
bankssts,lh,0.18617111208997456,0.02501359526620964,0.1343580912495212,89,pd,0.17864555375226446,0.19401836653892438
bankssts,rh,0.1688542129771464,0.021810715531908366,0.12916891528706093,89,pd,0.1620286522547422,0.17597154691329678
caudalanteriorcingulate,lh,0.20934311665471297,0.041648263340017096,0.19894737407923013,89,pd,0.20088088092277134,0.21816708877951707
caudalanteriorcingulate,rh,0.21450187253096753,0.03792800804544831,0.17681900674304213,89,pd,0.20583110542237495,0.2235432901528014
caudalmiddlefrontal,lh,0.19974719602817878,0.021201120304379213,0.10613976429180175,89,pd,0.1916728543130281,0.20816669277555727
caudalmiddlefrontal,rh,0.17368687102672545,0.021501965900755073,0.12379730127930356,89,pd,0.16666596071613846,0.18100790518765336
cuneus,lh,0.20906051065388026,0.027363271473935018,0.13088684892403013,89,pd,0.20060969864886372,0.21787257072008173
cuneus,rh,0.23416967171338188,0.029548616605547584,0.12618464376426333,89,pd,0.2247038770172112,0.24404010208001076
eTIV,lh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126355,0.0005089732695256077
eTIV,rh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126355,0.0005089732695256077
entorhinal,lh,0.357050917234573,0.09719761370852137,0.2722233973275725,89,pd,0.3426179180596899,0.3721008858753388
entorhinal,rh,0.3126423792197168,0.094336004504614,0.3017377386266535,89,pd,0.300004497664165,0.325820494093288
frontalpole,lh,0.38039656386776166,0.07808439553633523,0.20527103279376605,89,pd,0.36501986819938215,0.3964305693300799
frontalpole,rh,0.29754394574845594,0.07225637994339162,0.24284271609571673,89,pd,0.2855163852068383,0.31008565012901645
fusiform,lh,0.23511255948455073,0.024924871036718754,0.10601250350624748,89,pd,0.2256086506209983,0.2450227332902884
fusiform,rh,0.2682002957715614,0.028031530894457927,0.10451715130968266,89,pd,0.2573588878358096,0.27950514291232453
inferiorparietal,lh,0.1597470539240994,0.015688012698788126,0.09820533345323519,89,pd,0.15328963010529487,0.16648051415613946
inferiorparietal,rh,0.16502886553678348,0.014839694834566501,0.08992181329186236,89,pd,0.15835793608343754,0.17198495815905235
inferiortemporal,lh,0.17574878760793958,0.024865377205629115,0.14148249637487573,89,pd,0.168644528847933,0.18315673312629374
inferiortemporal,rh,0.16802428669758981,0.02275670615492514,0.13543700498418226,89,pd,0.16123227392235467,0.17510663860770811
insula,lh,0.3055888749017185,0.042808230898633275,0.14008438923832217,89,pd,0.2932361157673333,0.3184696791854848
insula,rh,0.30609960839901196,0.04402654381244506,0.14383077470342548,89,pd,0.29372620398467036,0.3190019404894496
isthmuscingulate,lh,0.21655791326269086,0.031982642494268076,0.14768632562261638,89,pd,0.20780403522298985,0.22568599457041083
isthmuscingulate,rh,0.21758952190531083,0.032198120217628134,0.1479764279809388,89,pd,0.20879394335184823,0.22676108630457759
lateraloccipital,lh,0.14686195623886192,0.016859738625401452,0.11479990500725815,89,pd,0.14092538419576406,0.15305229977035412
lateraloccipital,rh,0.1604717236914243,0.017362695085717125,0.10819784748560658,89,pd,0.15398500668879356,0.16723572930718053
lateralorbitofrontal,lh,0.2532474794605682,0.024959659414714196,0.09855837249744683,89,pd,0.2430105062848508,0.26392205398275204
lateralorbitofrontal,rh,0.2946887729383631,0.032191577568963056,0.1092392399207425,89,pd,0.28277662648707014,0.3071101296060857
lingual,lh,0.2515234045383211,0.029357053575611324,0.11671698556043758,89,pd,0.24135612330492656,0.26212530798682415
lingual,rh,0.24533032451997677,0.03169254170391321,0.12918314018425614,89,pd,0.23541338494509706,0.25567118491952834
medialorbitofrontal,lh,0.31995386505783907,0.030924147029304794,0.09665189393387869,89,pd,0.30702043274474794,0.333440164639164
medialorbitofrontal,rh,0.24841377279674356,0.027905714820081317,0.11233561853639353,89,pd,0.2383721915971369,0.25888460289425913
middletemporal,lh,0.17400241885527631,0.02103141618446763,0.12086852770684854,89,pd,0.1669687532167255,0.18133675359798437
middletemporal,rh,0.16275069205964585,0.01784389913632132,0.10963946703084851,89,pd,0.15617185276579434,0.16961075793129132
paracentral,lh,0.2409614415740639,0.032284836999533245,0.13398341572259356,89,pd,0.231221104497343,0.25111815022338213
paracentral,rh,0.22306043652839613,0.03125232962794495,0.14010700469496504,89,pd,0.2140437082665042,0.23246260415409195
parahippocampal,lh,0.1623541212169988,0.03352953393107729,0.206520990534404,89,pd,0.15579131242851343,0.1691974713249882
parahippocampal,rh,0.17461508498399173,0.03137280337653426,0.17966834526015,89,pd,0.16755665366272338,0.18197524407157428
parsopercularis,lh,0.18095758444345506,0.019377397752210288,0.10708253987699126,89,pd,0.17364277151091922,0.18858508472346
parsopercularis,rh,0.18560738169204793,0.01997991947852128,0.10764614691710449,89,pd,0.17810461091761073,0.19343087447452073
parsorbitalis,lh,0.24260331405776928,0.03689207764898079,0.15206749253308205,89,pd,0.2327966078917708,0.2528292288852519
parsorbitalis,rh,0.2893523759519655,0.040544015796913385,0.14011986479642377,89,pd,0.27765594162906604,0.301548799414301
parstriangularis,lh,0.19631095177459723,0.02320417995009604,0.11820114843485097,89,pd,0.18837551268672661,0.2045856082043567
parstriangularis,rh,0.22843768892813973,0.025526427067346244,0.11174350076434263,89,pd,0.21920359704749634,0.23806651184607347
pericalcarine,lh,0.25512474059591794,0.042827880280255685,0.16787035306814513,89,pd,0.24481188326164022,0.26587844310756714
pericalcarine,rh,0.3017606485108036,0.04689332936364468,0.1553990873066599,89,pd,0.28956263702073004,0.3144800901307256
postcentral,lh,0.21259197055167003,0.021374335372564033,0.10054159297314122,89,pd,0.20399840703606867,0.22155288434755663
postcentral,rh,0.16181658712085406,0.016228468216057394,0.10028927506632572,89,pd,0.1552755069676743,0.16863727975647794
posteriorcingulate,lh,0.20563420506846825,0.026101819446015518,0.12693325722403342,89,pd,0.19732189394189828,0.21430184373949862
posteriorcingulate,rh,0.24576234538111846,0.02639961728069146,0.10741929256799687,89,pd,0.23582794231173024,0.2561214157896589
precentral,lh,0.2667759762883161,0.03323867175314876,0.12459394663493356,89,pd,0.25599214333958764,0.27802078727590734
precentral,rh,0.18950397638102745,0.024337253012269737,0.128426080956401,89,pd,0.1818436943239797,0.19749171360328246
precuneus,lh,0.1411008460165873,0.014512254530123999,0.10285023045445095,89,pd,0.13539715420168913,0.14704835435568514
precuneus,rh,0.16589469205498747,0.0136679836482748,0.08238951758471216,89,pd,0.15918876346616914,0.17288727992574426
rostralanteriorcingulate,lh,0.2710886990418479,0.04835068578524196,0.1783574378280449,89,pd,0.26013053374739875,0.2825152945847056
rostralanteriorcingulate,rh,0.2931779543216023,0.04239667657919787,0.14461072517304874,89,pd,0.28132687939483586,0.30553562883166446
rostralmiddlefrontal,lh,0.19776070933997414,0.01801469197773647,0.09109338269396615,89,pd,0.1897666669864771,0.20609647415748017
rostralmiddlefrontal,rh,0.1674772063550989,0.018500866853479174,0.11046796908142902,89,pd,0.1607073081012125,0.1745364984112831
superiorfrontal,lh,0.12166997504864588,0.014519005516062514,0.11933104704145414,89,pd,0.1167517335185969,0.1267984573479978
superiorfrontal,rh,0.1342603638548733,0.015218616630128749,0.11335152231956619,89,pd,0.12883318350831274,0.1399195406506191
superiorparietal,lh,0.13051547468193384,0.012934869089987262,0.09910601881891426,89,pd,0.1252396732556732,0.13601680154117085
superiorparietal,rh,0.13356544828775568,0.01211874552441655,0.09073263841639433,89,pd,0.12816635837682402,0.1391953338620306
superiortemporal,lh,0.13544905519665293,0.018259612024569785,0.13480796893015903,89,pd,0.12997382461320187,0.14115833623959095
superiortemporal,rh,0.12172504111740944,0.01608470609290307,0.13213966448685466,89,pd,0.11680457366246666,0.12685584449358278
supramarginal,lh,0.16014464970086537,0.016060493894378667,0.10028742093087785,89,pd,0.1536711539459839,0.16689486889831678
supramarginal,rh,0.1439240084748706,0.01434859137093827,0.09969560688996207,89,pd,0.1381061965178186,0.14999051526604928
temporalpole,lh,0.45107194780277304,0.11759609285367932,0.2607036270521906,89,pd,0.43283835495592077,0.47008497463306387
temporalpole,rh,0.2830977487115427,0.09451492837321128,0.3338596961769397,89,pd,0.27165414395844073,0.29503053486254704
transversetemporal,lh,0.21490218865654245,0.04032326955265073,0.18763545315536803,89,pd,0.2062152396477468,0.22396047990856596
transversetemporal,rh,0.2020643477007361,0.03828641300665502,0.18947633980121248,89,pd,0.19389634021814497,0.21058151415942072
