region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809238,0.029998965143116077
BrainSegVolNotVent,rh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809238,0.029998965143116077
bankssts,lh,0.1925516699986382,85.23524475829264,442.6616749618191,89,pd,0.1847681916204356,0.20066786983268808
bankssts,rh,0.16867346438830763,60.633588878271844,359.47319335711074,89,pd,0.16185521003064765,0.17578317963350223
caudalanteriorcingulate,lh,0.14660227601133108,59.39821185275782,405.1656868421801,89,pd,0.14067620097112207,0.15278167382306085
caudalanteriorcingulate,rh,0.1455641935890916,53.93828013534093,370.5463466352278,89,pd,0.13968008075096763,0.15169983543452323
caudalmiddlefrontal,lh,0.10851494906877576,110.43159253227077,1017.6624831872728,89,pd,0.10412847057292814,0.11308893698396838
caudalmiddlefrontal,rh,0.12602010091573962,122.7960591176747,974.4164480536276,89,pd,0.12092601510124884,0.13133194434013842
cuneus,lh,0.12318834974414064,66.08999129222252,536.4954675461593,89,pd,0.11820873125167697,0.128380832695638
cuneus,rh,0.1420274939269007,81.69339976026622,575.1942634593871,89,pd,0.1362863444053299,0.14801406118257904
eTIV,lh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126355,0.0005089732695256077
eTIV,rh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126355,0.0005089732695256077
entorhinal,lh,0.4548854690204413,145.951008995462,320.8522121178229,89,pd,0.4364977229536105,0.47405923868030203
entorhinal,rh,0.37778742601121046,130.69282386252746,345.94275739248474,89,pd,0.3625161990105001,0.3937114543217413
frontalpole,lh,0.4078538799704911,60.810544023854085,149.09884890209656,89,pd,0.3913672826003472,0.4250452322602765
frontalpole,rh,0.3891019389165483,70.97232494091938,182.4003373988352,89,pd,0.37337334758054436,0.4055028825805804
fusiform,lh,0.1860323912282273,213.83366996261415,1149.4432155112163,89,pd,0.17851244037669492,0.1938737984869912
fusiform,rh,0.16987045650516092,216.22646403962761,1272.8903453147448,89,pd,0.16300381637000821,0.17703062588155175
inferiorparietal,lh,0.10436112274333759,164.56826547584623,1576.9116041476495,89,pd,0.1001425535540729,0.10876002370896787
inferiorparietal,rh,0.09715815636275515,163.40243526746985,1681.8190194694653,89,pd,0.09323075127028889,0.10125344679858238
inferiortemporal,lh,0.14452376676885229,227.43276560225456,1573.6703428578974,89,pd,0.13868171089995374,0.15061555382982098
inferiortemporal,rh,0.1243221619013414,184.85917221574488,1486.936595926026,89,pd,0.1192967115424983,0.12956243590052055
insula,lh,0.2158083162266657,153.3494515096352,710.5817523202892,89,pd,0.20708473900088287,0.2249048014472708
insula,rh,0.2731031595647609,197.16047204561949,721.9267340584057,89,pd,0.2620635641278261,0.28461466615597186
isthmuscingulate,lh,0.1336130789739409,61.12306768831288,457.463207626807,89,pd,0.1282120636971266,0.13924497221798735
isthmuscingulate,rh,0.1347873073140705,51.64029635307118,383.12432663072,89,pd,0.12933882643544378,0.14046869517875232
lateraloccipital,lh,0.10413368041643166,175.7977911430815,1688.1933918023863,89,pd,0.09992430508372387,0.10852299451441284
lateraloccipital,rh,0.09688433196670641,161.51771600746977,1667.1190555659107,89,pd,0.09296799562407798,0.10096808049527423
lateralorbitofrontal,lh,0.1207593456814974,98.59255180046425,816.4382743551953,89,pd,0.11587791434369349,0.12584944425808764
lateralorbitofrontal,rh,0.27315210469520795,225.86814267136387,826.8951210293434,89,pd,0.26211053075886803,0.2846656743610192
lingual,lh,0.10860672477371523,100.0335827793079,921.0625123603563,89,pd,0.104216536446553,0.11318458110490863
lingual,rh,0.0986986993707652,97.45167399303587,987.3653311980856,89,pd,0.0947090212105368,0.10285892487002785
medialorbitofrontal,lh,0.2385280519211015,152.4076965936606,638.9508293308531,89,pd,0.2288860792768974,0.24858219133953383
medialorbitofrontal,rh,0.20755427490932138,132.8939785115664,640.2854317003424,89,pd,0.19916434917628748,0.2163028459894231
middletemporal,lh,0.1444289335843897,230.8379108948732,1598.280241818685,89,pd,0.13859071113870067,0.15051672335426244
middletemporal,rh,0.10140431195415461,166.72552045283265,1644.1659850540684,89,pd,0.09730526534730223,0.10567858108856445
paracentral,lh,0.17712478233549153,76.06695601739831,429.4540550137141,89,pd,0.16996490201057982,0.18459072708168667
paracentral,rh,0.14887365599727181,83.92499975219158,563.7330472607562,89,pd,0.14285576540953016,0.15514879420878666
parahippocampal,lh,0.20547398515422075,67.6249360758049,329.1167785792847,89,pd,0.19716815056580966,0.2141348704335956
parahippocampal,rh,0.2885741077068555,71.37867246817447,247.3495388598191,89,pd,0.2769091331685338,0.3007377265687331
parsopercularis,lh,0.1650952814959962,110.84179729532418,671.3807704916888,89,pd,0.15842166732336166,0.17205417360163047
parsopercularis,rh,0.13934315357980206,69.09169623910095,495.83847117061276,89,pd,0.13371051262142125,0.14521657384132652
parsorbitalis,lh,0.2111659169048697,60.43423920923152,286.19315131455215,89,pd,0.2026299984760448,0.22006672145126707
parsorbitalis,rh,0.20791271765264882,70.84963077888192,340.7662194923904,89,pd,0.19950830265892697,0.21667639736792327
parstriangularis,lh,0.15045784844435142,83.67399212209904,556.1291284385662,89,pd,0.14437592035613603,0.15679976157646905
parstriangularis,rh,0.15119183919691467,89.94832387554948,594.928432336876,89,pd,0.14508024114451556,0.15756469059938952
pericalcarine,lh,0.14400059550710492,66.06558107360378,458.78686015811746,89,pd,0.1381796876874751,0.1500703305001388
pericalcarine,rh,0.14831835266220053,71.8548650050361,484.4637478457417,89,pd,0.14232290899222336,0.15457008441436873
postcentral,lh,0.1160937763752397,137.03618218937882,1180.3921490713578,89,pd,0.11140094043012969,0.12098721764509525
postcentral,rh,0.10412582833389157,119.66496553210334,1149.2342240811158,89,pd,0.09991677040437574,0.10851481146060146
posteriorcingulate,lh,0.16187580334485563,63.9642568458835,395.1440272368308,89,pd,0.15533232950587114,0.16869899198951135
posteriorcingulate,rh,0.17101426412151874,76.21540721744296,445.66696005712174,89,pd,0.16410138807550217,0.17822264586182276
precentral,lh,0.1474642031037363,197.35060719633114,1338.2950101964839,89,pd,0.14150328655377895,0.15367993180018077
precentral,rh,0.08401883325958756,114.93156747870228,1367.9262496255528,89,pd,0.08062255644701857,0.08756029119949195
precuneus,lh,0.15119673049393784,152.36236601957793,1007.7093963727399,89,pd,0.1450849347215988,0.15756978806831493
precuneus,rh,0.0923742072901452,94.81927403088552,1026.4691499117328,89,pd,0.08864018283244231,0.09626785062174584
rostralanteriorcingulate,lh,0.15585797381890726,84.23078905845857,540.4329787857184,89,pd,0.14955775752216718,0.1624275063566064
rostralanteriorcingulate,rh,0.1618807040467574,61.81766913920863,381.87175860906376,89,pd,0.15533703210766142,0.1687040992597382
rostralmiddlefrontal,lh,0.20443436473482715,380.6760633667391,1862.0942905588106,89,pd,0.1961705545186583,0.2130514292201501
rostralmiddlefrontal,rh,0.12619005615358203,222.43075867057095,1762.664709490717,89,pd,0.12108910027185674,0.13150906332095527
superiorfrontal,lh,0.12022335156299144,291.76339992956883,2426.8446698285434,89,pd,0.11536358661027919,0.12529085757844885
superiorfrontal,rh,0.10108784300134802,257.09134237319194,2543.2468904274037,89,pd,0.09700158895688453,0.1053487727278874
superiorparietal,lh,0.13187925731463296,209.97186435383367,1592.1523113592464,89,pd,0.12654832797058144,0.13743806865259336
superiorparietal,rh,0.1159594998489412,170.85691451528575,1473.4188638089904,89,pd,0.11127209173750904,0.12084728126074167
superiortemporal,lh,0.13838404101713367,197.39783598750444,1426.4494268025035,89,pd,0.13279017007769814,0.14421703395220586
superiortemporal,rh,0.12531527247940563,142.48507177412944,1137.0128233774976,89,pd,0.12024967780651122,0.13059740684733118
supramarginal,lh,0.11698003795954165,203.56493755786786,1740.1681612402297,89,pd,0.1122513768362917,0.12191083583151592
supramarginal,rh,0.13211468557864717,173.9922694216502,1316.9790221244823,89,pd,0.12677423956406983,0.13768342039760018
temporalpole,lh,0.44394318926205234,173.8584393208363,391.6231705453883,89,pd,0.4259977608230472,0.46265573347962113
temporalpole,rh,0.4077254432327267,167.2093433743106,410.10279380300716,89,pd,0.3912440376356345,0.4249113818160003
transversetemporal,lh,0.17536645866720088,34.14734152827382,194.7199127347176,89,pd,0.1682776547149538,0.18275828872893296
transversetemporal,rh,0.18676344117137897,25.168805719203853,134.76302193483522,89,pd,0.17921393923142473,0.19463566274313915
