region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,,0.027622033086809238,0.029998965143116077
bankssts,0.18343514915573217,73.96444770721047,403.2185109976735,89,pd,,0.17602018611092393,0.1911670806790848
caudalanteriorcingulate,0.14613038588664912,56.73396529092433,388.24208221096404,89,pd,,0.14022338596836648,0.15228989316950597
caudalmiddlefrontal,0.11721430862081116,116.77758510100503,996.2741449832807,89,pd,,0.11247617762058403,0.12215498117993892
cuneus,0.13359382006173456,74.30241756967506,556.1815474348996,89,pd,,0.12819358328414984,0.1392249015279343
eTIV,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,,0.00046864538240126355,0.0005089732695256077
entoinalvolume,0.4152226167340428,138.53214651472607,333.63343163808986,89,pd,,0.39843815436343344,0.4327245669017792
frontalpole,0.39671938738162676,66.08703795751684,166.58383749202554,89,pd,,0.3806828774208431,0.41344141231163073
fusiform,0.1773122466436292,215.03339526775903,1212.738540840575,89,pd,,0.17014478848576967,0.1847860931534736
inferiorparietal,0.1005922218942218,163.98638640611037,1630.2094070310027,89,pd,,0.09652600224453207,0.10483226081286823
inferiortemporal,0.1353711458409347,207.2421004788608,1530.917827366082,89,pd,,0.12989906457208422,0.1410771429450736
insula,0.24657882113920224,176.61866551352585,716.276704939791,89,pd,,0.23661141383043546,0.2569723066240301
isthmuscingulate,0.13409839969086415,56.5806928689597,421.9341394035624,89,pd,,0.12867776638992837,0.13975074957349587
lateraloccipital,0.10061983426270749,168.80882079301446,1677.6893147356307,89,pd,,0.09655249844366393,0.10486103706375766
lateralorbitofrontal,0.2120834933632576,174.26547154318726,821.6833322558703,89,pd,,0.2035104839212815,0.22102297445761404
lingual,0.10342704251987284,98.75106695046284,954.789623144145,89,pd,,0.09924623147221708,0.10778657129125144
medialorbitofrontal,0.2235459448361093,142.98411713476776,639.6184786066922,89,pd,,0.21450959096715017,0.23296857700748533
middletemporal,0.12418383961977375,201.34986997335923,1621.3854442723991,89,pd,,0.11916398063537996,0.12941828322922574
paracentral,0.15982947152420757,80.09240719680663,501.1116312467813,89,pd,,0.15336871615492398,0.16656640572098821
parahippocampal,0.23882785202646925,69.52714168788916,291.1182305495235,89,pd,,0.2291737606214259,0.24889462824813186
parsopercularis,0.1564911525905203,92.35682572732222,590.1728257378614,89,pd,,0.15016534143252339,0.1630873740966461
parsorbitalis,0.2092644081786637,65.84818695416948,314.66500934048116,89,pd,,0.200805354064007,0.21808506268113687
parstriangularis,0.1508500011536816,86.86782466963771,575.8556447151717,89,pd,,0.14475222115343633,0.15720844382176435
pericalcarine,0.14629280701792668,69.02094836890056,471.8000137931782,89,pd,,0.14037924158212103,0.15245916047541674
postcentral,0.11043197054427613,128.64411996830657,1164.917363461594,89,pd,,0.10596800066543913,0.11508676237761412
posteriorcingulate,0.16705377694047394,70.35699841226462,421.16376954072,89,pd,,0.16030099489073912,0.17409522112369638
precentral,0.11933834169270113,161.48765798641097,1353.1917378426897,89,pd,,0.11451435132033892,0.12436854386674064
precuneus,0.1247581750118573,126.89559745481323,1017.1325241231909,89,pd,,0.11971509978059248,0.13001682729638311
rostralanteriorcingulate,0.1578891610984666,73.87912439659532,467.91764477436834,89,pd,,0.15150683851683872,0.16454430973007653
rostralmiddlefrontal,0.1719527655344267,311.760892049631,1813.0612269054393,89,pd,,0.16500195262992776,0.17920070582549144
superiorfrontal,0.11062130814249117,274.97439868259676,2485.7272373637325,89,pd,,0.10614968470706909,0.11528408070008475
superiorparietal,0.12478765419167408,191.4161292288458,1533.9348308834321,89,pd,,0.11974338732930725,0.13004754904612587
superiortemporal,0.13345875826686887,172.14514418221114,1289.875212520587,89,pd,,0.12806398106571923,0.13908414677534414
supramarginal,0.12270802868554541,189.35679763535657,1543.1492108850264,89,pd,,0.11774782611699555,0.12788026573787142
temporalpole,0.425384756055872,170.56629420073745,400.9694559396352,89,pd,,0.40818951152124244,0.44331504815114403
transversetemporal,0.1791368921085166,29.995914011574996,167.44688187067703,89,pd,,0.17189567666502076,0.18668764881716335
