region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143615,0.033084224810203365
BrainSegVolNotVent,rh,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143615,0.033084224810203365
WhiteSurfArea,lh,0.05827355715695208,449.3980412059647,7711.869038568742,89,pd,0.05591797658912164,0.06072983206191704
WhiteSurfArea,rh,0.05518768159536837,420.8899919842046,7626.520625927649,89,pd,0.05295684076992282,0.057513884490461895
bankssts,lh,0.1970305051878568,31.273541245315855,158.72436207529591,89,pd,0.1890659797335366,0.20533549134310414
bankssts,rh,0.16974989822312514,21.811354317931936,128.49111867662117,89,pd,0.16288813139175393,0.1769049859759255
caudalanteriorcingulate,lh,0.1824055257865503,25.40779523635784,139.29290314422747,89,pd,0.175032183005185,0.19009405789914663
caudalanteriorcingulate,rh,0.15138592108621493,20.965497853838126,138.4904071885138,89,pd,0.145266477699683,0.15776695318843514
caudalmiddlefrontal,lh,0.13760404512911475,50.72093136105746,368.6005837507588,89,pd,0.13204170381042737,0.143404160642262
caudalmiddlefrontal,rh,0.12908530034692467,43.060839755908276,333.5843790127894,89,pd,0.12386731057721151,0.13452634426651985
cuneus,lh,0.1458170436919827,30.520189557302167,209.3046792374397,89,pd,0.13992270994375813,0.15196334336221087
cuneus,rh,0.1500884997024602,32.57065957527633,217.0096952121272,89,pd,0.14402150172597297,0.15641484450324283
eTIV,lh,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677709,0.0007840331210306235
eTIV,rh,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677709,0.0007840331210306235
entorhinal,lh,0.3682857058171742,31.18939218646472,84.68803348546977,89,pd,0.35339856498765376,0.3838092293703972
entorhinal,rh,0.3630598893001732,26.679266290209778,73.48447756549528,89,pd,0.3483839906264275,0.3783631406991824
frontalpole,lh,0.40503081378443423,14.21576784122022,35.09799096121646,89,pd,0.38865833266485084,0.42210317168008665
frontalpole,rh,0.435207985717626,17.13176299657413,39.36454191741245,89,pd,0.41761565869767225,0.45355233443962645
