region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.05561169185903089,41.7906716069764,751.4727606725371,89,pd,0.05336371134988706,0.057955767110316386
4th-Ventricle,0.0636055271801052,43.27753214334574,680.4052110251554,89,pd,0.06103441343414793,0.06628654869057808
5th-Ventricle,0.9134351560412101,0.53840363931213,0.5894273236050481,89,pd,0.8765115459422316,0.9519371449459514
Brain-Stem,0.08967182942758985,201.1203326855177,2242.8485508698436,89,pd,0.0860470426600253,0.09345156546999499
BrainSegVol,0.02936983833018207,3003.052375484799,102249.5371518166,89,pd,0.028182627117649375,0.030607799429055848
BrainSegVol-to-eTIV,0.06619091085478214,0.0019789268352590926,0.02989725945304951,89,pd,0.06351528865178915,0.06898090826014866
BrainSegVolNotVent,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143615,0.033084224810203365
CC_Anterior,0.20417015339426242,31.561437001790296,154.58399025073777,89,pd,0.19591702334127564,0.21277608116995073
CC_Central,0.2537321792459326,29.323541163689036,115.5688697067741,89,pd,0.2434756131458883,0.26442718423396266
CC_Mid_Anterior,0.27048236139685655,31.10815289978893,115.00991317561922,89,pd,0.25954870597006896,0.2818833993452582
CC_Mid_Posterior,0.23383144236831618,25.454014627837342,108.85625290607335,89,pd,0.22437931985060136,0.24368761610993467
CC_Posterior,0.3218923153058969,55.13211668088556,171.27503223707922,89,pd,0.30888052539874755,0.3354603220444836
CSF,0.16890782842553934,53.47059379246299,316.56669966623105,89,pd,0.16208010041638396,0.17602742229375548
CerebralWhiteMatterVol,0.03977334632608345,1943.0546343180079,48853.18470283573,89,pd,0.03816559615097448,0.04144982322630275
CortexVol,0.03509851224616887,1430.929186700489,40768.941334733645,89,pd,0.03367973197188162,0.03657794132237354
EstimatedTotalIntraCranialVol,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677709,0.0007840331210306235
Left-Accumbens-area,0.270798734450643,23.245385508747805,85.84008177107864,89,pd,0.2598522903379738,0.2822131077646982
Left-Amygdala,0.21469133285426556,49.22623143223417,229.28839640512822,89,pd,0.20601290722819596,0.2237407363733109
Left-Caudate,0.09454869930648112,43.269038814901215,457.63758922419373,89,pd,0.09072677578463173,0.09853399913600905
Left-Cerebellum-Cortex,0.061825777062725136,317.90899017005177,5142.01365956983,89,pd,0.059326605806580224,0.06443178074755447
Left-Cerebellum-White-Matter,0.20247777840969844,385.61481683204926,1904.479690861616,89,pd,0.194293058898673,0.21101237128827072
Left-Hippocampus,0.13222400921536331,54.244668144677505,410.2482481553337,89,pd,0.126879144032868,0.137797352109033
Left-Inf-Lat-Vent,0.07881508680822674,34.304382702528784,435.2514739468394,89,pd,0.07562916001749917,0.08213720286402662
Left-Lateral-Ventricle,0.010372332806494982,99.6740043810409,9609.60337857909,89,pd,0.009953054032483588,0.010809534549816034
Left-Pallidum,0.17731569129964564,47.474025179294486,267.7373041907959,89,pd,0.17014809389913177,0.18478968300436988
Left-Putamen,0.15748614625838725,82.64498363775029,524.7762142973186,89,pd,0.1511201146665694,0.1641243075069317
Left-Thalamus,0.16009042083681974,123.76384934210715,773.0871634615772,89,pd,0.15361911716467003,0.16683835424626747
Left-VentralDC,0.171313911889318,65.000735184992,379.424732458316,89,pd,0.1643889232403738,0.17853492401170754
Left-WM-hypointensities,,0.0,0.0,89,pd,,
Left-choroid-plexus,0.19766201239005346,45.03164755388657,227.82145648210857,89,pd,0.18967195964399897,0.20599361705580088
Left-non-WM-hypointensities,,0.0,0.0,89,pd,,
Left-vessel,0.2890087622244697,8.866233118680086,30.678077198897476,89,pd,0.27732621773186067,0.3011907021059664
MaskVol,0.021689075976022505,3140.3330132606307,144788.6953198145,89,pd,0.020812342713185786,0.02260328708018241
MaskVol-to-eTIV,0.05899147968261173,0.002181498674765461,0.03697989415594329,89,pd,0.05660687867338114,0.06147801556990762
Optic-Chiasm,0.38456712778770274,13.220260256311072,34.376989870047375,89,pd,0.3690218462322416,0.4007769257019647
Right-Accumbens-area,0.2744205988647034,22.329639278765622,81.37012808493552,89,pd,0.26332774883742527,0.2859876365277957
Right-Amygdala,0.19077919344742092,41.355100128704116,216.7694462976208,89,pd,0.1830673635410927,0.19882068204219175
Right-Caudate,0.1378872198286388,64.19068277853697,465.53032875933536,89,pd,0.13231343179463073,0.14369927137147254
Right-Cerebellum-Cortex,0.0626512427409552,336.5987186403414,5372.578482314868,89,pd,0.06011870384765348,0.06529204043406663
Right-Cerebellum-White-Matter,0.23538627917721666,424.01605871074986,1801.3626800715872,89,pd,0.22587130579623071,0.24530799047688626
Right-Hippocampus,0.11872633183269744,49.05140921767975,413.14684333716525,89,pd,0.11392708061483137,0.12373073732408946
Right-Inf-Lat-Vent,0.07625995990498477,30.616188720259377,401.471345623644,89,pd,0.0731773185077575,0.07947437541189709
Right-Lateral-Ventricle,0.013361123883563527,118.35563382119565,8858.20944799362,89,pd,0.012821029794237068,0.013924305451644785
Right-Pallidum,0.23006311448863123,56.042048107589224,243.59423383516173,89,pd,0.22076331834946047,0.23976045033436463
Right-Putamen,0.1737659551991334,94.27656091582794,542.5490902851959,89,pd,0.16674184808456127,0.1810903228182805
Right-Thalamus,0.1443985814367651,110.48114355823823,765.1123886325714,89,pd,0.13856158590998446,0.15048509184045256
Right-VentralDC,0.17337919722500733,66.0454598304668,380.9307049954476,89,pd,0.16637072395214236,0.1806872627003951
Right-WM-hypointensities,,0.0,0.0,89,pd,,
Right-choroid-plexus,0.19210711457634067,45.17124492632015,235.13572116231921,89,pd,0.18434160637475291,0.2002045760600833
Right-non-WM-hypointensities,,0.0,0.0,89,pd,,
Right-vessel,0.1950647071269621,9.214168911490216,47.23647371788774,89,pd,0.1871796447419728,0.2032868333937664
SubCortGrayVol,0.06538778255060936,321.33039674466374,4914.226851108736,89,pd,0.0627446250454842,0.06814392748505681
SupraTentorialVol,0.031092745595090905,2944.788524721725,94709.82598547568,89,pd,0.02983588964021886,0.032403328549997584
SupraTentorialVolNotVent,0.033857028063041195,2956.677360627763,87328.31940011041,89,pd,0.03248843206031245,0.03528412763350257
SurfaceHoles,0.37272669205077197,8.011846242123784,21.49523072265624,89,pd,0.35766003410604114,0.38843740656282905
TotalGrayVol,0.030641474508467617,1559.6550645179882,50900.13093485385,89,pd,0.0294028601961919,0.03193303604269075
WM-hypointensities,0.07999374503101654,185.8610409800609,2323.4446756805255,89,pd,0.07676017357019892,0.08336554243038656
lhCerebralWhiteMatterVol,0.05323094869414432,1302.1246971265457,24461.797677293438,89,pd,0.05107920449885889,0.05547467380419289
lhCortexVol,0.0495999688671286,1021.4659306421717,20594.084108773062,89,pd,0.047594999057001534,0.05169064540652769
lhSurfaceHoles,0.5307574020370324,6.720430286261277,12.661962434190178,89,pd,0.5093026997077539,0.5531292315743414
non-WM-hypointensities,0.9120507450407195,0.9851757737071061,1.08017649134547,89,pd,0.8751830967159958,0.9504943799652926
rhCerebralWhiteMatterVol,0.05212125900876702,1276.6599707993848,24494.035544779246,89,pd,0.050014371581915275,0.05431820985172993
rhCortexVol,0.043393204785553155,878.9690822641852,20255.915335315804,89,pd,0.041639129782144145,0.04522226148229273
rhSurfaceHoles,0.37233347747290785,4.2905878779961215,11.523508192486716,89,pd,0.3572827143639103,0.38802761769043076
