region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143615,0.033084224810203365
BrainSegVolNotVent,rh,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143615,0.033084224810203365
MeanThickness,lh,0.1140919170803761,0.009002524922109711,0.07890589581177397,89,pd,0.10948000190078261,0.11890097845325709
MeanThickness,rh,0.09752121797049125,0.007980194032425527,0.08183033598739752,89,pd,0.09357913690988724,0.10163181173015087
bankssts,lh,0.16493688040409774,0.02338675318891233,0.14179213970589505,89,pd,0.1582696692477231,0.17188909578282652
bankssts,rh,0.1580717050013848,0.02083125228442236,0.13178356167057137,89,pd,0.15168200348338393,0.16473454799780904
caudalanteriorcingulate,lh,0.2154073512728831,0.04152210665898556,0.19276086175157678,89,pd,0.20669998217475874,0.22448693551469445
caudalanteriorcingulate,rh,0.2229351313405672,0.03886759364537758,0.17434485723114423,89,pd,0.2139234682656983,0.23233201725697078
caudalmiddlefrontal,lh,0.20161752874077554,0.0214013913230378,0.10614846564533621,89,pd,0.19346758293333813,0.21011586143931302
caudalmiddlefrontal,rh,0.1286938955600647,0.016478833756386205,0.12804673978258058,89,pd,0.12349172746925813,0.13411844146919763
cuneus,lh,0.21420413452061962,0.02775607636682279,0.12957768732587627,89,pd,0.2055454028172039,0.22323300225810194
cuneus,rh,0.21888486692895434,0.02790201493329726,0.12747347646629997,89,pd,0.21003692689774442,0.22811103110949543
eTIV,lh,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677709,0.0007840331210306235
eTIV,rh,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677709,0.0007840331210306235
entorhinal,lh,0.3509159325906014,0.09298213330110174,0.2649698251506295,89,pd,0.336730926696313,0.36570730694678033
entorhinal,rh,0.33459358675076367,0.09477437110030827,0.28325220462430745,89,pd,0.32106837583995596,0.3486969617735817
frontalpole,lh,0.38974942588926254,0.08376455984844239,0.214919007660686,89,pd,0.37399466131439585,0.40617766162331687
frontalpole,rh,0.3659649269498165,0.08241368224759531,0.22519557525493802,89,pd,0.35117159850912033,0.38139062790270456
