region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,,0.030462835901143615,0.033084224810203365
MeanThickness,0.1058295756161688,0.0085067312102936,0.08038141663863886,89,pd,,0.1015516474445324,0.11029037299102196
bankssts,0.1617913374625714,0.022145894613408063,0.13687935930767162,89,pd,,0.1552512779713745,0.16861096580582968
caudalanteriorcingulate,0.2188266033912994,0.04021675755939536,0.18378367591567887,89,pd,,0.20998101853564094,0.22805031171926518
caudalmiddlefrontal,0.1623979903904141,0.019099365336738432,0.11760838475169834,89,pd,,0.15583340828693878,0.1692431896175412
cuneus,0.2165188325631821,0.02782914131462595,0.1285298880710765,89,pd,,0.2077665342749298,0.2256452665895938
eTIV,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,,0.0007219111961677709,0.0007840331210306235
entoinalthickness,0.342307908340652,0.0938825290740583,0.27426339499182684,89,pd,,0.32847086292174665,0.35673644790558023
frontalpole,0.3774890791368964,0.0830918663534852,0.22011727211677012,89,pd,,0.3622299121533515,0.3934005318989949
fusiform,0.24550529170182367,0.02397322043833413,0.09764848762384559,89,pd,,0.2355812794628803,0.25585352710161424
inferiorparietal,0.14204254766552127,0.014845415788121688,0.10451386596556515,89,pd,,0.13630078962962774,0.14802974944777056
inferiortemporal,0.18878815978543634,0.023839287605442495,0.12627533226944207,89,pd,,0.18115681304219075,0.19674572479191993
insula,0.30828827332714187,0.041961401471866326,0.13611092312726,89,pd,,0.295826396939821,0.3212828593145548
isthmuscingulate,0.23909451544883137,0.033188417995188256,0.1388087800043699,89,pd,,0.22942964476058456,0.24917253173724768
lateraloccipital,0.1627004654676801,0.017445958042799345,0.10722746239631949,89,pd,,0.15612365647350132,0.16955841425014437
lateralorbitofrontal,0.2746157625577441,0.029722828501675565,0.10823424054336893,89,pd,,0.26351502346679284,0.286191026519435
lingual,0.2585668762445573,0.029545107245421778,0.1142648574115018,89,pd,,0.248114878136293,0.26946566740062317
medialorbitofrontal,0.2670010505261354,0.03183453873586826,0.11923001303978817,89,pd,,0.25620811944565053,0.2782553485646135
middletemporal,0.15837275451158564,0.01911929523550768,0.12072338638341372,89,pd,,0.15197088372829906,0.16504828697460733
paracentral,0.21946969501599395,0.028766076186247262,0.13107083501506175,89,pd,,0.2105981145937634,0.22872051014670863
parahippocampal,0.14994133143434188,0.030452596882223675,0.2030967485143256,89,pd,,0.14388028241188278,0.15626147298031356
parsopercularis,0.1731490200926916,0.019673744288961632,0.11362319162089234,89,pd,,0.16614985122488604,0.18044738342629518
parsorbitalis,0.2621193851541737,0.04229850726099221,0.16137115244686318,89,pd,,0.2515237846752492,0.2731679172718365
parstriangularis,0.2248949739036326,0.02611339774749266,0.1161137454262639,89,pd,,0.2158040884973531,0.23437446867970088
pericalcarine,0.2694302814828243,0.04259315460681933,0.1580859967647496,89,pd,,0.2585391540759862,0.28078697345996667
postcentral,0.2121232892180385,0.022957211523472288,0.10822579457494126,89,pd,,0.20354867111603242,0.2210644477380437
posteriorcingulate,0.21601461001912275,0.02682886785514694,0.12419932083654854,89,pd,,0.20728269381984177,0.2251197906805107
precentral,0.2278863891114534,0.027463611817655612,0.12051448936787472,89,pd,,0.21867458231513628,0.23749197432139565
precuneus,0.13935406603765083,0.014400342116362371,0.1033363612976436,89,pd,,0.1337209839671274,0.14522794626760133
rostralanteriorcingulate,0.29890187061191104,0.04873591013724675,0.16304986662503895,89,pd,,0.2868194189399594,0.311500812561751
rostralmiddlefrontal,0.18498140575797428,0.019138956231604262,0.10346421659615487,89,pd,,0.17750393868590525,0.1927785131771195
superiorfrontal,0.12815032710921404,0.015512288880414159,0.12104759488591912,89,pd,,0.12297013157924945,0.13355196119332555
superiorparietal,0.11946794271478153,0.013082080812130314,0.10950285503252156,89,pd,,0.11463871350573115,0.12450360767080526
superiortemporal,0.11767833780929068,0.015822457590962433,0.1344551417492341,89,pd,,0.112921449448219,0.12263856955283144
supramarginal,0.13114175572228395,0.014341222896158589,0.1093566485912289,89,pd,,0.125840638260404,0.13666948080531094
temporalpole,0.3673041061160754,0.099184232251898,0.2700330069834662,89,pd,,0.3524566442986851,0.3827862544928005
transversetemporal,0.21118010503116472,0.038126785036920074,0.18054155731807003,89,pd,,0.20264361307849427,0.22008150761791295
