region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143615,0.033084224810203365
BrainSegVolNotVent,rh,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143615,0.033084224810203365
bankssts,lh,0.2138384598360864,90.09906878171803,421.34174016583205,89,pd,0.20519450972869913,0.2228519141065552
bankssts,rh,0.1791268236468169,63.62188324513615,355.17786755700513,89,pd,0.17188601519877292,0.18667715596211937
caudalanteriorcingulate,lh,0.16057640879559357,68.0363303477709,423.7006597549335,89,pd,0.15408546012753596,0.1673448269683798
caudalanteriorcingulate,rh,0.13471368572388093,51.92630956357251,385.456824854488,89,pd,0.12926818083635008,0.14039197038235282
caudalmiddlefrontal,lh,0.1235095641216793,125.09518457203497,1012.8380377797589,89,pd,0.11851696124345383,0.12871558650432097
caudalmiddlefrontal,rh,0.12680274100768632,124.69831355567756,983.4039277441076,89,pd,0.1216770186863108,0.13214757330922353
cuneus,lh,0.12043114081224353,64.00872833739774,531.4964875836363,89,pd,0.11556297643547649,0.1255074053031289
cuneus,rh,0.15846650223222924,89.68582559141565,565.9607824244332,89,pd,0.15206084190322416,0.16514598623321858
eTIV,lh,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677709,0.0007840331210306235
eTIV,rh,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677709,0.0007840331210306235
entorhinal,lh,0.46147011240675334,146.61972385270946,317.72311989616895,89,pd,0.44281619659220806,0.48092142981034247
entorhinal,rh,0.38614840773901005,126.67682828578494,328.0521834273709,89,pd,0.37053920641432037,0.40242485780995535
frontalpole,lh,0.4221399633934627,73.52935478812171,174.1824066999964,89,pd,0.40507588247600557,0.43993348500178775
frontalpole,rh,0.38763786369912345,72.58849312725633,187.2585212253621,89,pd,0.3719684543883856,0.40397709547544886
fusiform,lh,0.18497775439627315,211.42904488238838,1142.9971434805577,89,pd,0.17750043492248177,0.19277470790773615
fusiform,rh,0.15146215270396093,191.20331610588678,1262.3834581276658,89,pd,0.14533962782170132,0.15784639802704442
