region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.4510175904635443,0.028556324874850728,0.06331532401097986,178,pd,0.4380672392803362,0.4643574985032874
4th-Ventricle,0.4268975743785748,0.0301321859122284,0.07058411132012438,178,pd,0.41463979635758846,0.43952407610491906
5th-Ventricle,,2.966666666666667,,178,pd,,
Accumbensarea,0.46073318026252524,0.052372233162798085,0.11367150317447605,178,pd,0.4475038592508467,0.47436044976490455
Amygdala,0.49789463748857093,0.0295316460128806,0.05931304293984989,178,pd,0.4835982762289445,0.5126210446576404
Brain-Stem,0.4208886717774414,0.01248416101730902,0.029661432712331175,178,pd,0.4088034311486894,0.4333374460496602
BrainSegVol,0.2370004873774911,0.0035753416274066307,0.015085798628387949,178,pd,0.23019534361585756,0.24401033527220548
BrainSegVol-to-eTIV,0.2584064601601255,0.003577674313882879,0.013845142693669188,178,pd,0.2509866732652421,0.26604944014205645
BrainSegVolNotVent,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,0.22668892757278308,0.24029348444092957
CC_Anterior,0.7237343572023142,0.04656452048326564,0.06433924273440138,178,pd,0.7029533183087082,0.7451405062626174
CC_Central,0.6295742181563126,0.08151119683976911,0.12947035391390702,178,pd,0.6114968584403906,0.6481953592203821
CC_Mid_Anterior,0.6073107384656985,0.0795856974712743,0.13104608963829376,178,pd,0.5898726440171407,0.6252733846550731
CC_Mid_Posterior,0.7980033593808593,0.07475467116525693,0.09367713843116683,178,pd,0.7750897880083093,0.8216061891920109
CC_Posterior,0.9503485710250691,0.128809735733027,0.1355394637928373,178,pd,0.923060615961974,0.9784573694649392
CSF,0.5741981714138543,0.053739353940213785,0.09359025614430432,178,pd,0.5577108588881439,0.5911814354044604
Caudate,0.42754080238225045,0.015600909186944024,0.03648987207774325,178,pd,0.415264554951834,0.44018632909254
CerebellumCortex,0.259949804135619,0.007112811589783739,0.027362250236868415,178,pd,0.25248570223639494,0.2676384321524429
CerebellumWhiteMatter,0.4408026424939622,0.030791379349549362,0.06985298267573593,178,pd,0.42814559952382925,0.45384041937645947
CerebralWhiteMatterVol,0.22710147923132054,0.006142076463149412,0.027045515000337046,178,pd,0.22058057190429387,0.23381854063356383
CortexVol,0.13486532745855184,0.004142346102244549,0.030714685385075092,178,pd,0.13099285465492674,0.13885428732195287
EstimatedTotalIntraCranialVol,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,0.005503889373582825,0.005834200945394614
Hippocampus,0.5366846140437138,0.015023099789365117,0.027992417513466226,178,pd,0.5212744518384054,0.5525583261761607
InfLatVent,0.46173699868354523,0.06848726156661243,0.1483252625669503,178,pd,0.4484788544034371,0.4753939584811772
LateralVentricle,0.12247239713704022,0.006839497521111373,0.055845216399727456,178,pd,0.11895577032090233,0.1260948068828239
MaskVol,0.1591316551241532,0.002468716824660665,0.015513675281857608,178,pd,0.1545624080220504,0.16383834881072662
MaskVol-to-eTIV,0.14759008078045616,0.0024671274823985265,0.016716079219906647,178,pd,0.14335223414724496,0.15195540520863648
Optic-Chiasm,0.6519023279335161,0.1586718673867135,0.24339822176995748,178,pd,0.6331838471859845,0.6711838754593891
Pallidum,0.4972635464437245,0.027567272931623976,0.0554379526284937,178,pd,0.48298530609741086,0.5119712876080061
Putamen,0.6046959238203128,0.023458366581822078,0.0387936575355398,178,pd,0.5873329101860132,0.622581230704862
SubCortGrayVol,0.4264806046756293,0.008431288126388768,0.01976945266432784,178,pd,0.4142347993674597,0.4390947735404394
SupraTentorialVol,0.25575429807556804,0.004029513330960691,0.01575540806657367,178,pd,0.24841066437540707,0.26331883411415274
SupraTentorialVolNotVent,0.2519963334126421,0.004177739559185653,0.016578572801472617,178,pd,0.24476060451075954,0.25944971879085343
SurfaceHoles,0.5420093978273115,0.4587592770688748,0.8464046544356029,178,pd,0.5264463417628049,0.5580406029877615
Thalamus,0.3708930700959647,0.01871679927224596,0.05046413853837491,178,pd,0.3602433845610295,0.38186310663616496
TotalGrayVol,0.12521526217598858,0.0033372182703640912,0.026651849082691456,178,pd,0.1216198777542637,0.12891879861873187
VentralDC,0.5044492907659403,0.01935905280053365,0.03837660822387016,178,pd,0.4899647216323397,0.5193695672514207
WM-hypointensities,0.5485088777033096,0.17201545425971865,0.31360559737879473,178,pd,0.5327591979933353,0.5647323202968114
WMhypointensities,,,,178,pd,,
choroidplexus,0.6320442950069978,0.07343112955486095,0.11618035339445307,178,pd,0.6138960104239702,0.6507384944145465
non-WM-hypointensities,,0.02319100286768226,,178,pd,,
nonWMhypointensities,,,,178,pd,,
vessel,0.7693955349404902,0.2641569606331202,0.34333050899957684,178,pd,0.7473033979885125,0.7921522209308223
