region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,,0.22668892757278308,0.24029348444092957
MeanThickness,0.29888062646875874,0.005037434513471086,0.016854336037058718,178,pd,,0.2902986794306187,0.3077207252947408
bankssts,0.4576032050863128,0.013609530036084483,0.0297408975392064,178,pd,,0.44446375701658536,0.471137898197216
caudalanteriorcingulate,0.5742795598909123,0.02437642895148611,0.042446972962291316,178,pd,,0.5577899104067717,0.5912652311375155
caudalmiddlefrontal,0.3836170820214817,0.012035107851054537,0.03137271100555579,178,pd,,0.37260204394514024,0.39496346119791603
cuneus,0.45045024674033673,0.020886404484302477,0.046367838924378485,178,pd,,0.4375161860535804,0.4637733742525471
eTIV,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,,0.005503889373582825,0.005834200945394614
entoinalthickness,0.5859159590206212,0.04701309993020009,0.08023864038246051,178,pd,,0.5690921863039858,0.603245804192114
frontalpole,0.578987338504734,0.04291492714891548,0.0741206660231044,178,pd,,0.5623625116181353,0.5961122533975004
fusiform,0.49711445400219983,0.013857800313960148,0.027876478348985653,178,pd,,0.4828404946407465,0.511817785406194
inferiorparietal,0.3371526792610525,0.0090418238334845,0.026818187692595922,178,pd,,0.3274718027473391,0.3471247642346628
inferiortemporal,0.41290101687131675,0.012651407118171252,0.030640290532668136,178,pd,,0.40104513079181475,0.425113537427153
insula,0.6787133802381883,0.021722319105777183,0.03200514346446792,178,pd,,0.6592250569162684,0.6987879278149584
isthmuscingulate,0.5844615308467856,0.021097311538961654,0.03609700626214907,178,pd,,0.5676795200392647,0.6017483578777455
lateraloccipital,0.3751112832375762,0.011213327845858155,0.02989333658288335,178,pd,,0.3643404775008915,0.3862060833714609
lateralorbitofrontal,0.4310273415865409,0.016659334227634822,0.038650295747630646,178,pd,,0.41865098296741626,0.44377599090966335
lingual,0.5177588950915535,0.02103113429435538,0.0406195518681268,178,pd,,0.5028921589343806,0.5330728344884218
medialorbitofrontal,0.44191151888094504,0.018576718054787816,0.042037189032387616,178,pd,,0.42922263604705985,0.45498209339560247
middletemporal,0.3386398048342039,0.0099689294135465,0.02943815012658429,178,pd,,0.3289162275504251,0.3486558750509818
paracentral,0.4997079718058447,0.018824003862915516,0.03767000913531423,178,pd,,0.4853595431397184,0.5144880126103847
parahippocampal,0.49748215880884455,0.017018918957311505,0.034210109158609954,178,pd,,0.4831976413084661,0.5121963659489744
parsopercularis,0.4106314170547786,0.011057970259097416,0.026929187100221977,178,pd,,0.39884069941945927,0.4227768088478353
parsorbitalis,0.45592138575528934,0.02265474515579378,0.04969002521841224,178,pd,,0.4428302288197083,0.4694063350963492
parstriangularis,0.4439247600292713,0.015288367812399192,0.034439096867205865,178,pd,,0.4311780697385627,0.45705488089499874
pericalcarine,0.47341883865271783,0.036034489638348925,0.07611545358207104,178,pd,,0.4598252663687677,0.4874213163951457
postcentral,0.45617311739861893,0.014565891838036525,0.03193062300799364,178,pd,,0.4430747323343485,0.4696655122962241
posteriorcingulate,0.5136398137361666,0.016321867482781516,0.03177687368908929,178,pd,,0.4988913513475392,0.5288319215955275
precentral,0.5061515987481126,0.01761671168281703,0.034805208017497584,178,pd,,0.49161815017686417,0.5211222250035746
precuneus,0.4090755440167155,0.00852487491363255,0.020839365829418074,178,pd,,0.39732950114057497,0.42117491719832967
rostralanteriorcingulate,0.6474148105371621,0.02535747070332408,0.03916727002628331,178,pd,,0.6288251826934914,0.6665636291614138
rostralmiddlefrontal,0.2815982988422118,0.011411458835854388,0.04052389124072294,178,pd,,0.27351259012550183,0.28992723210364485
superiorfrontal,0.30824254210777735,0.008326989485400048,0.027014406994114743,178,pd,,0.29939178050932663,0.3173595416496982
superiorparietal,0.26876795532310255,0.008140103620787131,0.03028673418675009,178,pd,,0.261050652313591,0.2767174009408556
superiortemporal,0.31508438539611294,0.008889296672236926,0.02821243160324056,178,pd,,0.30603716965663114,0.3244037485757689
supramarginal,0.3941272755351489,0.008531390556025585,0.02164628302987049,178,pd,,0.3828104516750965,0.4057845184515277
temporalpole,0.5009850552208702,0.04857629067398409,0.09696155637330972,178,pd,,0.48659995685701035,0.5158028687767967
transversetemporal,0.49422818113934386,0.02412047423195832,0.04880432794494521,178,pd,,0.48003709714234394,0.5088461442220525
