region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,0.22668892757278308,0.24029348444092957
BrainSegVolNotVent,rh,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,0.22668892757278308,0.24029348444092957
MeanThickness,lh,0.3406076705790188,0.005327077304971388,0.015639921719659392,178,pd,0.3308275887308602,0.35068194506238287
MeanThickness,rh,0.2629734640707195,0.004730088830231218,0.017986943461942576,178,pd,0.2554225419257974,0.2707515239552366
bankssts,lh,0.4707035180086264,0.015213557526694836,0.032320891908897996,178,pd,0.45718791243076384,0.4846256837444796
bankssts,rh,0.43802225243627274,0.011789244377317754,0.026914715660554152,178,pd,0.4254450445511447,0.4509777927309551
caudalanteriorcingulate,lh,0.5827439380141016,0.02498345360181872,0.04287209522411909,178,pd,0.5660112455277356,0.599979963189608
caudalanteriorcingulate,rh,0.5653327527472677,0.023753897006164523,0.042017549647939315,178,pd,0.5490999985526425,0.5820538010898665
caudalmiddlefrontal,lh,0.4521956347738892,0.012423037532417785,0.02747270556609787,178,pd,0.43921145766492803,0.4655703862501169
caudalmiddlefrontal,rh,0.33394487038734855,0.011634250317109743,0.03483883523533382,178,pd,0.32435610170339935,0.34382207685446803
cuneus,lh,0.4633290079368893,0.020488130442227758,0.04421939937120983,178,pd,0.45002515129576987,0.477033055159684
cuneus,rh,0.43942100763435343,0.021277224808372956,0.048421045964370336,178,pd,0.42680363641321034,0.45241791941012005
eTIV,lh,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,0.005503889373582825,0.005834200945394614
eTIV,rh,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,0.005503889373582825,0.005834200945394614
entorhinal,lh,0.5769235420409944,0.047923144505990646,0.08306671684163199,178,pd,0.5603579742377246,0.5939874152901061
entorhinal,rh,0.5961295041509285,0.046085088160400633,0.07730717543671983,178,pd,0.5790124635018227,0.6137614389873899
